source,line,alarm_key,message,classification,alarm_occurrences,alarm_occurrences_linked_to_stop,alarm_occurrence_stop_association_pct,attributed_zone_stops,attributed_zone_stop_minutes,average_zone_stop_minutes,same_zone_pct,average_alarm_to_stop_seconds,average_confidence_score
3GT,TAM07,P7_535PRS_ON_ER,Z5B : 535PRS Retainer not detect,ROOT_CAUSE_CANDIDATE,109,4,3.67,11,724,65.82,9.09,102.61,1.36
3GT,TAM18,P3_619PHS_MISS,Z6  : 619PHS Array missing (Check jam or sensor),STOP_ALARM_CANDIDATE|ROOT_CAUSE_CANDIDATE,164,24,14.634,43,718,16.7,25.58,109.82,2.65
FLEX,TAM28,[00G3_K022]Program:EM0522_Good_Robot.ALMD_K001CTL_Guard_Open,EM0522 Good Robot Error: Safety Guard Open,DOOR_OR_GUARD|OPERATOR_INITIATED_FLEX|STOP_ALARM_CANDIDATE|CASCADE_SYMPTOM_CANDIDATE,1924,7,0.364,7,714,102,0,-15.83,2
FLEX,TAM29,[09G3_K002]Program:EM0913_Slider_B.ALMD_IMM_B_Not_Running,EM0911 IMM (B) Alarm: IMM (B) Not Running Error,STOP_ALARM_CANDIDATE|ROOT_CAUSE_CANDIDATE|LONG_DURATION,181,16,8.84,41,703,17.15,0,80.41,2.78
3GT,TAM02,P2_CHUCK_ERR,Z5B : Foil chuck error,ROOT_CAUSE_CANDIDATE,110,8,7.273,12,697,58.08,16.67,27.96,2.17
FLEX,TAM31,[00G3_K042]Program:UN05_Standard.ALMD_05G6_B003GLS,Z05 Guard Door Open =05G6_B003GLS,DOOR_OR_GUARD|OPERATOR_INITIATED_FLEX|STOP_ALARM_CANDIDATE|CASCADE_SYMPTOM_CANDIDATE,909,30,3.3,65,696,10.71,36.92,51.3,2.37
3GT,TAM01,DevicewiseEDHR_Online,EDHR Client DeviceWise Offline,ROOT_CAUSE_CANDIDATE,302,19,6.291,32,696,21.75,0,64.26,1.78
3GT,TAM01,P3_850BCR_TOUT,Z8  : 850BCR Communication time out failure,STOP_ALARM_CANDIDATE|ROOT_CAUSE_CANDIDATE,98,8,8.163,20,691,34.55,0,153.27,2.25
3GT,TAM01,P3_862PHS_MISS,Z8  : 862PHS Carton missing (Check jam or sensor),STOP_ALARM_CANDIDATE|CASCADE_SYMPTOM_CANDIDATE,392,17,4.337,30,690,23,0,96.15,1.77
3GT,TAM05,P7_ENOUGH_FOIL,Z5C : Not enough foil (->Check foil reel),UNCLASSIFIED,76,3,3.947,8,690,86.25,12.5,143.38,1.12
